Date,News
1403/04/10,دومین عرضه اولیه امسال، امروز انجام می‌شود
1403/04/09,۱.۸ میلیون سهامدار از طریق سجام سود دریافت کردند
1403/04/09,نرخ بهره بین بانکی ثابت ماند+جدول
1403/04/09,اعلام زمان برگزاری مجمع سهام عدالت خراسان جنوبی
1403/04/09,عرضه ۴۰ دستگاه کامیون در بورس کالا، فردا
1403/04/09,انتصاب عضو هیات عامل صندوق تثبیت بازار سرمایه
1403/04/09,برگشت دامنه نوسان به روال عادی پس از ۴۱ روز
1403/04/06,واریز مرحله سوم سود سهام عدالت؛ شاید وقتی دیگر
1403/04/04,مجمع سرمایه‌گذاری سهام عدالت ایلام برگزار می شود
1403/04/04,جزئیات شفاف‌سازی ۶ پالایشگاه اعلام شد
1403/04/04,بازگشت دامنه نوسان نمادها به روال عادی از شنبه آینده
1403/04/04,شفاف سازی ۴ پالایشی‌ روی کدال/ثبات به بورس بر می گردد؟
1403/04/04,دومین جلسه شورای ملی تامین مالی برگزار شد
1403/04/04,پالایشی‌های بورس ملزم به افشای اطلاعات شدند
1403/04/03,رشد ۶۰ درصدی برگزاری مجامع الکترونیک در بهار امسال
1403/04/03,آخرین خبرها از دارندگان اطلاعات نهانی ۱۷ اردیبهشت بورس
1403/04/03,درآمد ۴۴ هزار میلیارد تومانی دولت از طریق فروش اوراق نقدی
1403/04/03,دادوستد ۱۲۵ هزار میلیارد تومانی در بورس کالا
1403/04/03,عدم‌مداخله دولت، درخواست بورسی‌ها از رئیس‌جمهور آینده
1403/04/02,تصویب واگذاری شرکت ۵ هزار میلیاردی در عرضه عمومی
1403/04/02,گزارش روزانه بورس ۲ تیر/ بازار متعادل شد
1403/04/02,برنامه معاملات گواهی سپرده سیمان ابلاغ شد
1403/04/02,پرداخت سود سهامداران از ۱۰ هزار میلیارد تومان عبور کرد
1403/04/02,رکوردشکنی نرخ سود بین بانکی+جدول
1403/04/02,دریافت نظرات برای اصلاح مقررات پذیرش در بورس و فرابورس
1403/03/30,وضعیت بازار سرمایه به سمت بهبود پیش می‌رود
1403/03/30,بازخوانی «دهه سیاه اقتصاد ایران»/ به دهه ۹۰ عقبگرد کنیم؟
1403/03/29,سود سهام ۲۸۷ هزار سهامدار از طریق سجام واریز شد
1403/03/28,چرا قبض گاز مصرفی صنایع ۳ هزار میلیارد تومان زیاد شد؟
1403/03/28,تزریق ۶۰ میلیون دلار منابع صندوق توسعه ملی به بازار سرمایه
1403/03/28,روند کاهشی نرخ اخزا ادامه دارد
1403/03/28,دامنه نوسان بورس از ۹ تیرماه به ۶ درصد تغییر می کند
1403/03/27,گزارش روزانه بورس ۲۷ خرداد/ ریزش ۱۶ هزار واحدی شاخص کل
1403/03/27,سهام جزئی دولت در بخش‌های مختلف واگذار می‌شود
1403/03/27,ماجرای تداوم ۶ هفته ای دامنه نوسان ۲ درصدی چیست؟
1403/03/27,برنامه دولت برای واگذاری سهام خود در خودروسازان
1403/03/26,دیدگاه نامزدهای ریاست جمهوری در خصوص اصلاحات بورسی
1403/03/26,انتشار ۲۴.۹ هزار میلیارد تومان اوراق نقدی در سال جاری
1403/03/26,عملیاتی شدن پذیره‌نویسی الکترونیکی حق‌تقدم ۶۱ ناشر بورسی
1403/03/26,واکنش رئیس بورس به احتمال قطع برق صنایع؛ از قبل اطلاع بدهید
1403/03/26,ادامه محدودیت دامنه نوسان برای پنجمین هفته پیاپی
1403/03/25,گاز ۶ نرخی برای صنایع بورسی/ حداکثر نرخ گاز ۱۴ سنت شد
1403/03/23,نقد رویکرد بورسی نامزدهای انتخابات ریاست جمهوری
1403/03/23,نظر وزارت اقتصاد در خصوص عدم خروج خودروسازان از بورس
1403/03/22,ماجرای زیان‌سازی پالایشگاه‌ها با بنزین اکتان۸۷ چه بود؟
1403/03/22,فراخوان دریافت نظرات کارشناسی در خصوص اسناد خزانه
1403/03/22,مصوبات کارگروه ارزیابی تامین مالی جمعی منتشر شد
1403/03/21,زیان ۲۶ هزار میلیاردی ۶ پالایشگاه با فرمول خوراک وزارت نفت
1403/03/21,اولین جلسه سیاستگذاری شانزدهمین رویداد مالی در وزارت اقتصاد
1403/03/20,اصلاح دستور العمل قیمت خوراک پالایشی ها
1403/03/20,چرا عرضه اوراق دولتی باز هم بی مشتری ماند؟
1403/03/20,ورود نظارتی سازمان بورس بر تبلیغات گمراه کننده صندوق‌ها
1403/03/20,ویترین تسنیم شماره ۶۸۵
1403/03/20,آغاز هماهنگی بازار پول و سرمایه برای مدیریت ریسک نرخ بهره
1403/03/19,واریز ۱۲۰۰ میلیارد تومان سود به حساب سهامداران از طریق سجام
1403/03/19,گزارش روزانه بورس ۱۹خرداد/ ریزش ۱۸ هزار واحدی شاخص
1403/03/19,نرخ سود بین بانکی افزایش یافت+جدول
1403/03/19,چرا وضعیت بازار سرمایه آشفته است؟
1403/03/19,اختصاصی| تسرّی مجوز صادرات فرآورده‌های نفتی به بورسی‌ها+ جدول
1403/03/19,دامنه نوسان ۲ درصدی دردی از مشکلات بورس دوا نمی‌کند
1403/03/19,ادامه محدودیت دامنه نوسان برای چهارمین هفته پیاپی
1403/03/18,ریزش قیمت اخزا/ بحران سود۳۶درصد اوراق و هشدارتداوم نزول بورس
1403/03/18,حسینی: تامین مالی از طریق بورس گام مهمی در عرصه اقتصاد است
1403/03/16,گزارش روزانه بورس ۱۶ خرداد/ ریزش ۶ هزار واحدی شاخص
1403/03/14,جهش بی سابقه نرخ بازده اوراق دولتی
1403/03/14,رشد ۱۰۰ درصدی تأمین مالی از بازار سرمایه در سال ۱۴۰۳
1403/03/14,تشکیل شورای تامین مالی تولید با حضور فرزین و خاندوزی
1403/03/13,گزارش روزانه بورس ۱۳ خرداد/ ریزش ۶۸۰۰ واحدی شاخص
1403/03/12,ظرفیت قانون تامین مالی تولید در کاهش هزینه با اوراق بدهی
1403/03/12,عرضه ۴۴۶۰ میلیارد تومان اوراق دولتی از ابتدای سال
1403/03/12,پرداخت ۳ هزار میلیارد تومان سود سهام از طریق سجام
1403/03/12,افت ۱.۵ درصدی شاخص فرابورس در هفته گذشته
1403/03/12,بررسی واگذاری سرخابی‌ها در هیات واگذاری
1403/03/12,کاهش جزئی نرخ بهره بین بانکی+جدول
1403/03/12,محدودیت دامنه نوسان امروز هم اعمال می‌شود
1403/03/12,جلسه بررسی مسائل بازار سرمایه امروز در مجلس برگزار می‌شود
1403/03/12,ثبات‌بخشی به حوزه اقتصاد کلان، اولویت مجلس دوازدهم
1403/03/12,صندوق تثبیت بازار سرمایه ۶.۵ همت سهم خرید
1403/03/09,ادامه نظارت دولت بر سرخابی‌ها تا پایان پرداخت اقساط
1403/03/09,گزارش روزانه بورس ۹ اردیبهشت/رشد شاخص کل باکاهش نرخ اخزا
1403/03/09,هشدار سازمان بورس به صندوق های درامد ثابت
1403/03/09,ویترین تسنیم شماره ۶۷۸
1403/03/08,در جلسه روسای بانک مرکزی و سازمان بورس چه گذشت؟
1403/03/08,جلسه عشقی با فرزین برای تقویت بورس
1403/03/08,واگذاری بخشی از سهام پالایشگاه خلیج‌ فارس به قرارگاه خاتم‌
1403/03/08,وعده وزیر اقتصاد در خصوص کاهش نرخ خوراک پالایشگاه‌ها
1403/03/08,بررسی شبهات بورسی درباره مرکزمبادله/متولی بازارطلاوارز کیست؟
1403/03/08,گزارش روزانه بورس ۸ اردیبهشت/ رشد ۱۱ هزار و ۷۰۰ واحدی شاخص
1403/03/08,۳۱تیر فرصت آخر ۲ خودروساز برای خروج از ماده ۱۴۱ قانون تجارت
1403/03/08,اصلاح نرخ اوراق اسناد خزانه اسلامی در بازار سرمایه
1403/03/08,برگزاری جلسه کمیته تخصصی مولدسازی دارایی‌ها دولت+ مصوبات
1403/03/08,چرا حال بورس پریشان است؟
1403/03/07,بورس در ۳ ماه آینده به کدام سمت خواهد رفت؟
1403/03/07,گزارش روزانه بورس ۷ اردیبهشت/ بورس ۲۲ هزار واحد دیگر ریخت
1403/03/07,لزوم اصلاح یک تصمیم بورسی
1403/03/07,زمان معاملات صندوق‌های قابل معامله در فرابورس تغییر کرد
1403/03/06,گزارش روزانه بورس ۶ اردیبهشت/ سقوط ۲۰ هزار واحدی شاخص کل
1403/03/06,دادوستد ۲۱ میلیارد برگه دارایی مالی در فرابورس
1403/03/05,انتشار ۲،۴۴۵ میلیارد تومان اوراق نقدی در سال جاری توسط دولت
1403/03/05,بازگشایی ۶ نماد پالایشگاهی در روز منفی بازار سرمایه
1403/03/05,پذیرش ۱.۶ میلیون تن آهن اسفنجی در بورس
1403/03/05,تداوم محدودیت دامنه نوسان در بازار سرمایه
1403/03/05,معامله ۳ میلیون تن انواع کالا و محصول در بورس کالا
1403/03/01,اعلام برنامه‌ ایران خودرو برای خروج از ماده ۱۴۱ قانون تجارت
1403/03/01,حجم مبنای ۴ نماد معاملاتی فرابورس برداشته شد
1403/03/01,دامنه نوسان معاملات محدود شد/ بورس امروز تعطیل نیست
1403/02/31,بورس تا اطلاع ثانوی تعطیل شد
1403/02/31,واریز ۵۳۲ میلیارد تومان سود به حساب سهامداران از طریق سجام
1403/02/30,نامه عشقی به وزیر نفت برای اصلاح قیمت‌گذاری خوراک پالایشی‌ها
1403/02/30,ریزش کم سابقه شاخص بورس/ معاملات پالایشی‌ها ابطال شد
1403/02/30,استفاده قانون تامین مالی تولید از ظرفیت بازار سرمایه
1403/02/29,نرخ بهره بین بانکی افزایش یافت+جدول
1403/02/29,پذیرش ۲۰ شرکت جدید در بورس تهران در سالی که گذشت
1403/02/29,دهه «رکود، عبرت، تجربه»/ بورس و سرمایه‌هایی که بر باد رفت
1403/02/29,واحد پایه سفارش در نمادهای اسناد خزانه اسلامی تغییر کرد
1403/02/26,افت ۱۰۰۰ واحدی شاخص بورس در معاملات امروز
1403/02/26,شستا:احقاق حقوق مردم درپرونده۵۹میلیون دلاری باپیگیری دولت
1403/02/26,لزوم اصلاح اصل ۴۴ در راستای مشارکت مردم در اقتصاد
1403/02/26,تسهیل مسیر صندوقهای سرمایه گذاری با قانون جدید تامین مالی
1403/02/26,رونمایی از نخستین عرضه اولیه امسال بازار سرمایه، امروز
1403/02/25,نخستین عرضه پساب در بورس
1403/02/25,اعلام نرخ گاز خوراک پتروشیمی‌ها بر حسب چهار هاب منطقه‌ای
1403/02/24,دو پیش‌شرط استفاده از ظرفیت‌ بازار سرمایه برای رشد اقتصادی
1403/02/24,"بازگشایی باشکوه نماد ""استقلال"" در بورس با رشد ۲۱ درصدی"
1403/02/23,انتشار جزئیات مصرف انرژی صنایع بازار سرمایه در اسفند پارسال
1403/02/23,دادوستد ۴۳۲ هزار میلیارد تومانی فرابورس در هفته گذشته
1403/02/22,گزارش روزانه بورس ۲۲ اردیبهشت/ ریزش های پیاپی شاخص کل
1403/02/22,"معامله بلوک ۸۵ درصد سهام ""استقلال"" قطعی شد"
1403/02/22,ممنوعیت عرضه‌های اولیه برداشته شد
1403/02/22,حجم معاملات سکه طلا در بورس کالا به ۶۸۱ هزار قطعه رسید
1403/02/22,جزئیات فعالیت ۶ شرکت پالایشی در بازار سهام منتشر شد
1403/02/22,معامله ۲۹.۷ هزار میلیارد تومان بورس کالا در هفته گذشته
1403/02/20,نرخ بهره بین بانکی ثابت ماند+جدول
1403/02/19,گزارش روزانه بورس ۱۹ اردیبهشت/ ریزش ۱۲ هزار واحدی شاخص
1403/02/19,سپرده بلندمدت دارایی‌های پرسپولیس در بانک شهر
1403/02/18,معامله ۵ تن گواهی سپرده شمش طلا در بورس طی ۱۴ ماه
1403/02/18,معامله نخستین گواهی سپرده سکه صادره خزانه بورس کالا
1403/02/17,احضار ۴۰ متهم در معاملات مشکوک بورس به دستگاه قضا
1403/02/17,معافیت مالیاتی بورس درانتظارتصویب آئین نامه شورای تامین مالی
1403/02/17,فرابورس برای پذیرش شرکت‌ها شرط گذاشت
1403/02/17,شرایط خرید کامیونت فورس در بورس کالا ابلاغ شد
1403/02/16,طغیانی:لغو معافیت مالیاتی به ضرر صندوق سرمایه‌گذاری ثابت است
1403/02/16,گزارش روزانه بورس ۱۶ اردیبهشت/ افت ۵ هزار واحدی شاخص
1403/02/13,ادامه روند کاهشی نرخ سود بین بانکی+جدول
1403/02/12,گزارش روزانه بورس ۱۲ اردیبهشت/ افت ۴ هزار واحدی شاخص
1403/02/12,"توافق خصوصی‌سازی و هلدینگ خلیج فارس بر تغییر نام ""استقلال"""
1403/02/11,واگذاری شازند کاملاً شفاف و در فرآیندی قانونی بوده است
1403/02/11,نامه سازمان خصوصی‌سازی به فدراسیون فوتبال درباره سرخابی‌ها
1403/02/11,زمان‌بندی جدید عرضه در بورس کالا اعلام شد
1403/02/11,۵۰ دستگاه کامیونت فورس در بورس کالا عرضه می‌شود
1403/02/11,۲۳ درصد درآمد بودجه از سودِ سهام روی دوش بانک مرکزی
1403/02/11,کوچ نقدینگی از بازار طلا و ارز به بازار سرمایه
1403/02/11,رشد ۴۱ درصدی صدور مجوز صندوق‌های سرمایه‌گذاری در سال گذشته
1403/02/11,اعلام جزئیات پذیرش‌های جدید در بورس کالا
1403/02/11,نماد سپرده‌گذاری مرکزی در بازار توافقی فرابورس معامله می‌شود
1403/02/10,"خریدار ""استقلال"" در صدد تغییر نام باشگاه"
1403/02/09,پرداخت بیش از ۲۲۰۰ میلیارد سود توسط ۹ ناشر بورسی
1403/02/09,بازارگردانیِ الزامی در بورس و فرابورس لغو شد
1403/02/09,جزئیات نحوه بررسی صلاحیت متقاضیان بلوک ۸۵ درصدی سرخابی‌ها
1403/02/08,گزارش روزانه بورس ۸ اردیبهشت/ بورس در سکوت
1403/02/08,زنگنه: افزایش معافیت‌های مالیاتی بدعت است
1403/02/08,اعلام شرایط تخفیف ۱۰ درصدی کل قرارداد واگذاری سرخابی‌ها
1403/02/06,کاهش بسیار جزئی نرخ بهره بین بانکی در هفته اول اردیبهشت
1403/02/05,مجلس مصوب کرد: معافیت بورس از مالیات بر عایدی سرمایه
1403/02/05,۶ الزامی که خریداران سرخابی‌ها باید رعایت کنند
1403/02/04,تلاش دانه‌درشتها برای جلوگیری از لغو رانت مالیاتی صندوق‌ها
