Date,News,Label
1393/01/19,شاخص بورس صعودی شد ایران خودرو به معاملات بورس بازگشت ابهامات صنایع بزرگ بورسی برطرف می‌شود واگذاری ۶ شرکت زیر مجموعه شرکت ملی نفت منتفی شد لزوم واگذاری استقلال و پرسپولیس بر اساس قانون,1
1393/01/20,اولین معامله فرابورسی خصوصی‌سازی در سال ۹۳ به ثبت رسید شاخص بورس ۳۹۳ واحد کاهش یافت قیمت سوخت گازی پتروشیمی‌ها ۱۰ سنت است نه قیمت خوراک گازی بلوک دو شرکت دولتی در فرابورس عرضه می شود معامله بلوک ۱۰۰ درصدی خدمات مهندسی آب و خاک قطعی شد ۲۰ فروردین هم آمد؛ از خصوصی‌سازی سرخابی خبری نشد ارائه گزارش کمیسیون اصل ۹۰ از اجرای اصل ۴۴ طی ۶ ماه آینده,0
1393/01/23,بزرگترین افت شاخص بورس در سال ۹۳ رقم خورد شاخص بورس به ارتفاع ۷۶ هزار واحد سقوط کرد تعیین تکلیف شرکت‌های زیرمجموعه صنایع پتروشیمی در سال ۹۳,0
1393/01/24,نصف شرکت‌های مدیریت تولید برق آماده واگذاری شدند ۱۸۹۸ بشکه نفت خام در بورس انرژی به فروش رفت سقوط ۱۵۸۱ پله‌ای شاخص بورس شاخص بورس به ارتفاع ۷۵ هزار واحد سقوط کرد تعیین تکلیف واگذاری شرکتهای وزارت نفت در دستور کار هیات واگذاری,0
1393/01/25,شاخص بورس به ارتفاع ۷۳ هزار واحد سقوط کرد واگذاری ۴۰ هزار میلیارد تومان سهام در سال ۹۳ و ارزانی سهام عدالت,0
1393/01/26,تذکر مجلس به وزیر اقتصاد در پی افت شدید شاخص بورس سقوط تقاضای خرید نفت خام در بورس انرژی دارایی‌های استقلال و پرسپولیس برای واگذاری نامشخص است شاخص بورس پنجمین روز متوالی افت را سپری کرد استفاده از ظرفیتهای بورس کالا برای موفقیت فاز دوم هدفمندی کارگروه فعالان بازار سرمایه و نمایندگان مجلس تشکیل می‌شود مبنای قیمت مس همچنان نرخ ارز مبادله‌ای باشد استراحت بورس پس از طی دوره رشد و رونق، طبیعی است,0
1393/01/27,شاخص بورس ۳۱۳ واحد رشد کرد شرکت‌های قابل واگذاری وزارت نیرو در سال ۹۳ تعیین شدند شاخص بورس به ارتفاع ۷۴ هزار واحد بازگشت,1
1393/01/31,فراکسیون نفت، گاز و پتروشیمی در مجلس تشکیل می‌شود شاخص بورس ارتفاع ۷۴ هزار واحد را پس گرفت دولت خصوصی‌سازی را متوقف کند مهلت دولت به شرکتها برای ارائه گزارش آثار فاز دوم هدفمندی تا ۱۵ اردیبهشت رونق بورس پس از اجرای فاز دوم هدفمندی یارانه ها بانک ها نقدینگی جدید وارد بورس می‌کنند سهم واگذاری سهام به بخش خصوصی در نیمه دوم سال گذشته ۸۵ درصد شد,1
1393/02/01,فلزات اساسی در صدر معاملات فرابورس بودند بیشترین رشد شاخص بورس در سال ۹۳ به ثبت رسید انجام نصف معاملات بورس توسط ۱۰ کارگزار در سال ۹۲ انجام ۲۸ درصد کل واگذاری‌ها در نیمه دوم سال ۹۲ اولین جلسه هیات واگذاری در سال ۹۳ تشکیل شد سقوط ۴۸۰۰ واحدی شاخص بورس در فروردین امسال عرضه بلوک ایران خودرو در بورس منتفی شد سود بالای بانکی به بازار سرمایه آسیب زد,1
1393/02/02,تزریق ۵ هزار میلیارد تومان به بورس تهران توسط ۴ بانک بهترین زمان برای خرید سهام فرا رسید,1
1393/02/03,شاخص بورس تا یک قدمی ۷۶ هزار واحد پیش رفت ابهام در نرخ سود بانکی و پارک نقدینگی در چهارراه استانبول معامله بلوک ۲۸ میلیون سهمی پست بانک قطعی شد,1
1393/02/06,"بلندترین پرش شاخص بورس در سال جاری رقم خورد عرضه‌های خصوصی‌سازی تاثیری در افت بورس نداشت نماد معاملاتی تاپیکو باز شد جلسه واگذاری باشگاه استقلال در وزارت ورزش برگزار می‌شود آیا می توان به رشد بورس امیدوار بود؟ شاخص بورس به ارتفاع ۷۶ هزار واحد بازگشت بورس حالا آماده صعود است خرید خطوط اعتباری ""سهام"" از بهترین روش‌ها برای مثبت کردن بازار است دولت منافع خود را به بورس ترجیح می‌دهد",1
1393/02/07,"شاخص بورس ۵۱۹ واحد رشد کرد ۴ صندوق جدید در آستانه ورود به بازار سرمایه آمادگی بورس برای تدوین ابزارهای اسلامی ""همراه"" به تالار شیشه ای بازگشت معمای جدید خصوصی‌سازی سرخابی",1
1393/02/08,رونمایی از فهرست واگذاری‌های سال ۹۳ در جلسه آینده هیات واگذاری شاخص بورس به ارتفاع ۷۸ هزار واحد صعود کرد رفع ابهامات رونق را به معاملات بورس بازگرداند درج نماد دو شرکت سرمایه‌گذاری مسکن در فرابورس اولین عرضه سنگ آهن دانه بندی در سال ۹۳ فراخوان بورس برای تدوین سند راهبردی بازار سرمایه ایران نماد معاملاتی کشتی به بورس بازگشت دولت باید برای مهار تورم سهام واحدهای دولتی را بیشتر عرضه کند,1
1393/02/09,سنگ آهن مرکزی ایران خصوصی می‌شود,1
1393/02/10,دعوت بورس انرژی از سهامداران حقیقی برای عضویت در هیات مدیره استراحت شاخص بورس در ارتفاع ۷۸ هزار واحدی بورس کالا جور بانک‌ها در تامین مالی بخش تولید را کشید پایان توزیع سهام عدالت کارگران فصلی و ساختمانی همزمان با روز کارگر عرضه‌های جدید در بورس همزمان با ساماندهی نرخ سود بانکی,1
1393/02/13,وزیر صنعت مشکلات عرضه پتروشیمی‌ها را در سایت بهین یاب ریشه‌یابی کند دستورالعمل وظایف و اختیارات بورس درخصوص کارگزاران عضو اصلاح شد سهام ۱۰ شرکت دولتی عرضه می‌شود شاخص بورس ۲۲۵ واحد افت کرد پایان قصه نرخ سود بانکی و رفع ابهامی دیگر از بورس ایتالیایی‌ها از خرید پرسپولیس منصرف شدند نحوه اجرای اصل ۴۴ در وزارت نفت زیر ذره بین مجلس کاهش نرخ سود بانک‌ها از روی ناچاری بود نه نتیجه نشست‌های اضطراری,0
1393/02/14,نعمت زاده: خروج محصولات پتروشیمی از بورس کالا صحت ندارد ۵۰ شرکت فعال‌تر بورس در زمستان پارسال معرفی شد شاخص بورس برای دومین روز متوالی افت کرد فهرست واگذاریهای سال ۹۳ به تصویب هیات واگذاری رسید آمار واگذاریهای نیمه دوم سال ۹۲ اعلام شد افزایش ۲۲ درصدی محصولات پتروشیمی، با راه اندازی ۴ فاز پارس جنوبی وزیر صنعت به جای اصلاح تصمیم غلط خود دستور ورشکستگی تولید صادر کرد,0
1393/02/15,دادوستد ۸۳۷ میلیارد ریال اوراق بهادار در فرابورس شاخص بورس مثبت شد سهام عدالت سال ۹۶ آزاد می‌شود قیمت هر بشکه نفت خام و میعانات گازی تحویلی به پالایشگاههای داخلی تعیین شد,1
1393/02/16,دولت تکلیف منابع سهام عدالت را مشخص کند شروط خصوصی‌سازی برای واگذاری فولاد میانه و فولاد آذربایجان اعضای کمیته رسانه بازار سرمایه در سال ۹۳ انتخاب شدنـد سقف خرید اوراق تسهیلات مسکن محدود شد سرمایه‌گذاران در صنایع تکمیلی و پایین دستی پتروشیمی تخفیف گازی می‌گیرند شاخص بورس ۴۶ واحد افت کرد دولت برای حذف دلالی ۵۰درصد محصولات پتروشیمی تدبیر کند شرکت تامین مواد اولیه صبانور به بورس منتقل شد,0
1393/02/17,استراحت شاخص بورس در ارتفاع ۷۷ هزار واحد واگذاری سهام شرکت پالایش و پژوهش خون قطعی شد سهام عدالت به امپراطور رانت کشور تبدیل شده است شفافیت عملکرد سایت بهین یاب ضرورت بازار پتروشیمی,1
1393/02/20,"جو دامی قزاقستان در بورس کالا معامله شد رفت و برگشت شاخص بورس به ارتفاع ۷۸ هزار واحد نام ۷۶ شرکت در لیست بنگاههای ""بزرگ"" قابل واگذاری در سال ۹۳ آمادگی بورس انرژی برای پذیرش محصولات پتروشیمی و پالایشگاه‌ها نام ۲۷ شرکت در لیست بنگاه‌های""بسیار بزرگ"" قابل واگذاری در سال ۹۳ نماد معاملاتی ""تاپیکو"" به تالار شیشه ای بازگشت عرضه سهام سد و نیروگاه شهید عباسپور به تعویق افتاد",1
1393/02/21,"۱۸۶ شرکت دولتی امسال واگذار می‌شود شاخص بورس ۱۹۷ واحد افت کرد خروج پتروشیمی از بورس کالا به معنای بازگشت رانت‌های عظیم است کلیات اصلاح موادی از قانون سیاست‌های اصل ۴۴ به تصویب مجلس رسید نماد معاملاتی ""اخابر"" به بورس بازگشت راهکارهای بازگشت رونق به بورس تهران",0
1393/02/22,راه‌اندازی مجدد سامانه رسیدگی به شکایات در سازمان خصوصی‌سازی شاخص بورس ۱۳۸ واحد دیگر افت کرد شرایط حضور بخش خصوصی در فعالیت های اقتصادی تسهیل شد دستورالعمل عرضه اولیه سهام به روش ثبت سفارش در فرابورس ابلاغ شد,0
1393/02/24,مُهر خصوصی‌سازی بر رسانه‌های دولتی ۶۰۵ میلیارد ریال اوراق در فرابورس معامله شد شاخص بورس ۱۳ واحد رشد کرد شرکت‌های بورسی سودهای خوبی پیش‌بینی کرده‌اند دستورالعمل وظایف و اختیارات بورس کالا درخصوص کارگزاری‌های عضو اصلاح شد خصوصی‌سازی «سرخابی» در بن‌بست,1
1393/02/27,کشف قیمت منصفانه تر با اجرای شیوه جدید عرضه اولیه فرابورس سقوط شاخص بورس به ارتفاع ۷۶ هزار واحد,0
1393/02/28,درج دو شرکت جدید در فرابورس تصمیم گیری هیات واگذاری در مورد ۶۵ بنگاه مشمول واگذاری شاخص بورس ۹۳ واحد رشد کرد ورود طلای سبز به بازار مشتقه بورس کالای ایران پیوند معاملات بورس به مذاکرات هسته‌ای؛ ممنوع,1
1393/02/29,"بلوک سنگ آهن مرکزی ایران در فرابورس فروخته شد شاخص بورس تا نیمه ۷۶ هزار واحد عقب نشست حرکت قطار خصوصی سازی در سال ۹۳ شتاب گرفت بازار دارایی فکری فرابورس شروع به کار می‌کند نماد معاملاتی ""فارس"" در بورس متوقف شد عرضه نفت خام در بورس انرژی متوقف شد",0
1393/02/30,"الاکلنگ اوراق مسکن در فرابورس حضور حقوقی‌ها به ثبات بازار سرمایه کمک می‌کند شاخص بورس ۱۰۵ واحد رشد کرد ۱۲۵۰۰ بشکه نفت خام در بورس انرژی معامله شد واگذاری شرکت سنگ آهن بافق خلاف قانون است نماد معاملاتی ""حسینا"" متوقف شد",1
1393/02/31,توانمندسازی بخش خصوصی، دغدغه واگذاری‌ها باشد شاخص بورس ۱۳۳ واحد رشد کرد بازار دارایی فکری کلید می خورد پذیرش سه شرکت تولیدی جدید در بورس کالای ایران رونق بازار سهام در نیمه دوم سال ۹۳ دلارهای صادرات بی‌حدومرز چشم پتروشیمی‌ها را کور کرده است,1
1393/03/03,"عرضه اولیه ۱۰ درصد سهام ""نفت سپاهان"" دوشنبه در بورس سهامداران عدالت از سال ۸۷ تاکنون هیچ سودی نگرفتند عملکرد کارگزاران بورس در سال ۹۳ اعلام شد افت ۶۳ واحدی شاخص بورس در نخستین روز معاملاتی خرداد بازار دارایی فکری، سرآغاز نهضت اقتصاد دانش بنیان در ایران است رشد ۳۶ درصدی معاملات قراردادهای آتی سکه طلا در اردیبهشت نحوه فروش سهام ایران خودرو فردا در مجلس بررسی می‌شود",0
1393/03/04,اوراق اجاره رایتل در فرابورس عرضه می شود انجام واگذاری‌های جدید به صورت نقدی در بورس شاخص بورس ۳۰۹ واحد افت کرد سهام ۵ شرکت دولتی در سبد واگذاری‌های خرداد سهمیه خریداران برخط نفت سپاهان ۲۰ میلیون سهم تعیین شد,0
1393/03/05,"آنلاینی‌ها از عرضه اولیه ""نفت سپاهان"" دست خالی برگشتند مجلس با واگذاری مدیریت شبکه های ورزشی صدا و سیما مخالفت کرد سازمان خصوصی‌سازی از قانون تبعیت نمی‌کند افت شاخص بورس برای سومین روز متوالی هر سهم نفت سپاهان ۱۷۵۰ تومان کشف قیمت شد بورس، بازوی اصلی تحقق اقتصاد مقاومتی",0
1393/03/07,"همزمان با عرضه‌اولیه نفت سپاهان درباره آتش‌سوزی امروز بزرگ‌نمایی شد شاخص بورس تا مرز ۷۵ هزار واحد عقب نشست عرضه اولیه ""شسپا"" به مشتریان آنلاین به ساعت ۱۱:۳۰ موکول شد عرضه اولیه ""شسپا"" از ساعت ۱۱:۲۰ به مشتریان آنلاین بلوک ۱۷ درصدی پالایش نفت بندرعباس عرضه می‌شود",0
1393/03/10,راه‌اندازی بورس ایده از فردا جدیدترین نرم افزار اطلاعات روز بازار سرمایه رونمایی می‌شود مخترعین تخفیف ۹۰ درصدی از فرابورس می گیرند شاخص بورس به ارتفاع ۷۵ هزار واحد عقبگرد کرد وزیر صنعت موانع عرضه بیشتر مواد اولیه در بورس کالا را برطرف کند شرایط بورس این روزها بحرانی است یا متعادل؟ حباب‌های بورس خالی شده است,0
1393/03/11,ستاری: به دلیل اقتصاد دولتی جایی نداریم از نخبگان استفاده کنیم عرضه دارایی‌های فکری در فرابورس فرصت جدیدی برای کارآفرینان است صف خرید نفت سپاهان حذف شد شاخص بورس ۱۱۴۳ واحد افت کرد بازار دارایی فکری، زمینه دادوستد علایم تجاری در بورس را فراهم می‌کند شاخص بورس به ارتفاع ۷۴ هزار واحد سقوط کرد رکورد مشارکت کنندگان دربزرگترین نمایشگاه صنعت مالی خاورمیانه شکسته شد دستورالعمل بیمه مجریان واگذاری در سال ۹۳ تصویب شد بازار دارایی‌های فکری رسما در فرابورس افتتاح شد بازار دارایی فکری، گامی بلند به سوی اقتصاد دانش بنیان است بورس ایده گام عملی اقتصاد دانش‌بنیان برای تحقق اقتصاد مقاومتی است عرضه نفت خام در بورس انرژی از سرگرفته شد,0
1393/03/12,گره خصوصی‌سازی استقلال و پرسپولیس محکم‌تر شد فردا؛ جلسه ویژه بررسی تخلفات پتروشیمی‌ها در عرضه محصولات به بورس کالا مجوز فعالیت یکصد و سی امین صندوق سرمایه‌گذاری صادر شد شاخص بورس پس از ۶ روز سقوط، امروز صعودی شد ۲۵۰۰ میلیارد سهم دولتی در بورس واگذار می شود رونمایی از ۴ دستاورد جدید در نمایشگاه بین المللی بورس، بانک و بیمه,1
1393/03/13,شاخص بورس ۳۶۶ واحد رشد کرد شاخص بورس به ارتفاع ۷۵ هزار واحد بازگشت,1
1393/03/17,آمادگی بورس کالا برای استقرار نظام انبارداری و صدور اوراق گواهی سپرده کالایی نخستین مرکز دولتی صدور گواهی الکترونیک رونمایی می شود ایجاد صندوق توسعه صنعت پتروشیمی با محوریت بورس رشد ۲۲۶ واحدی شاخص بورس در اولین روز معاملاتی هفته شمارش معکوس برای رونمایی از هشتمین نمایشگاه بورس عرضه انواع فرآورده های نفتی و پتروشیمی در اولین روز هفته خط و نشان مجلس به دولت برای آزادسازی سهام عدالت,1
1393/03/18,"افتتاح هشتمین نمایشگاه بین‌المللی بورس، بانک و بیمه + فیلم رشد گروه بانکی در بورس پس از ۹ روز کاهش عرضه تمام محصولات پتروشیمی در بورس کالا هم مشکل رانت‌خواری را حل نمی‌کند ""آیفکس"" یک ساله شد وزیر اقتصاد: تامین مالی مهمترین مشکل تولید است بانک‌ها پارسال ۲۳۶ هزار میلیارد تومان وام دادند حضور معاون اول رئیس جمهور در نمایشگاه بورس حمایت ویژه دولت را نشان می‌دهد هشتمین نمایشگاه بین‌المللی بورس، بانک و بیمه افتتاح شد برگزاری ۲۴ کارگاه آموزشی توسط بورس کالا در هشتمین نمایشگاه بورس",1
1393/03/19,اجلاس بازارهای مالی اسلامی برای نخستین بار در ایران فردا برگزار می شود «آی‌کد» برای محاسبه شاخص کل به بورس می‌آید جلسه ویژه شورای عالی بورس برای خارج کردن سفته بازان از بازار اوراق مسکن شاخص بورس ۱۱۳ واحد افت کرد تفاهمنامه همکاری کانون کارگزاران با بورس عمان امضا شد حاشیه‌نگاری اولین روز هشتمین نمایشگاه بورس کارگاه آموزشی آشنایی با نحوه معاملات آتی سکه طلا برگزار می شود,0
1393/03/20,سقف نوسان قیمت مجاز pvc و پلی پروپیلن در بورس کالا افزایش یافت دهمین گزارش عملکرد اصل ۴۴ به سران سه قوه ارائه شد استقبال خوبی از نمایشگاه بورس نشد شاخص بورس به ارتفاع ۷۴ هزار واحد سقوط کرد ۴ محصول جدید بانکی رونمایی شد اصول اقتصاد اسلامی مورد توجه بازارهای مالی غرب است کاهش زمان صدور کد معاملاتی برای خارجی‌ها به ۷ روز تمایل گسترده کشورها برای سرمایه‌گذاری در ایران به شرط قوانین شفاف اجلاس سرمایه‌گذاری اسلامی ابزاری برای جذب سرمایه‌گذاری خارجی در ایران برگزاری کارگاه آموزشی زبان تجاری گسترش‌پذیر در چهارمین روز نمایشگاه بورس توقف عرضه اولیه در بورس تا تثبیت کامل بازار سرمایه تکرار غیبت غیرموجه خصوصی‌سازی در هشتمین نمایشگاه بورس,0
1393/03/21,بازار آلایندگی در بورس انرژی راه‌اندازی می‌شود شاخص بورس تا نیمه ۷۴ هزار واحد عقب نشست تعدیل پیش بینی سود شرکت ها با رفع موانع بین المللی عرضه مواد اولیه پتروشیمی در بورس کالا به زودی افزایش می‌یابد,0
1393/03/24,۳۳.۹ درصد سهام شرکت ساختمانی و عمران تکلار به فروش می‌رسد افت بورس دلیل سیاسی دارد تقویت بازار سرمایه در دستور کار شورای عالی بورس قرار گرفت شاخص بورس ۹۸۳ واحد سقوط کرد,0
1393/03/25,ریزش شاخص بورس تا نیمه ارتفاع ۷۲ هزار واحد راهکارهای تقویت بازار در نشست مدیران بورسی با حقوقی‌ها بررسی شد آرامش به بازار سرمایه بازمی‌گردد کارنامه دولت یازدهم در حوزه خصوصی‌سازی شاخص بورس به ارتفاع ۷۲ هزار واحد سقوط کرد پالایش نفت جی در تابلوی بورس درج شد عرضه محصولات صنایع ملی مس ایران در بورس کالا بلوک ۴۸ درصدی سهام یک شرکت دولتی واگذار می شود سرمایه‌گذاری توسعه معین ملت در بورس درج شد,0
1393/03/26,جزئیات روش جدید عرضه‌های اولیه تشریح شد مشکل عرضه نفت خام در بورس انرژی کمبود تقاضاست رشد ۱۱۷ واحدی شاخص بورس پس از افت ۲۷۲۰ واحدی تامین مالی ۱۲۰ میلیارد تومانی لیزینگ‌ها از بازار سرمایه نخستین معاملـه در بازار بلوک به ثبت رسید قیمت پایه و شرایط واگذاری ۴ شرکت دولتی تصویب شد افزایش محدودیت حجمی در برخی از نمادهای بازار فرابورس آغاز فعالیت نخستین صندوق بازارگردانی اختصاصی در بورس هشتمین نمایشگاه بورس در شان بازار سرمایه بود,1
1393/03/27,احتیاط شرکت‌ها در انتشار صورت‌های مالی یک عامل افت بورس است شاخص بورس دوباره در مسیر کاهش قرار گرفت ۵ عامل افت شاخص بورس تشریـح شـد خصوصی‌سازی استقلال و پرسپولیس امسال هم اتفاق نمی‌افتد اولین جلسه کمیسیون اقتصادی و سرمایه گذاری وزارت ورزش برگزار شد فرآیند عرضه در بازار دارایی فکری طولانی است معامله ۴۶۸ میلیارد ریالی بورس انرژی در نیمه نخست خرداد,0
1393/03/28,شاخص بورس ۲۳۵ واحد رشد کرد وزارت ورزش برای خصوصی‌سازی سرخابی باز هم نشست گذاشت نماد معاملاتی بزرگ‌ترین هلدینگ بورسی متوقف شد عرضه انواع فولاد، آلومینیوم و طلا در بورس کالا انتخاب یک عضو کمیسیون فرهنگی مجلس برای بررسی واگذاری سرخابی‌ها,1
1393/03/31,"دلایل توقف نمادهای بورسی تشریح شد نشانه‌ای از سقوط نمی‌بینم واگذاری باشگاه‌های ورزشی در دستور کار کمیسیون نظارت بر اجرای اصل ۴۴ زمان بازگشایی نماد ""حسینا"" اعلام شد انتشار صکوک برای توسعه خطوط ریلی کشور بررسی شد شاخص بورس ۹۵ واحد رشد کرد مهر تاریخ انقضا بر روی اوراق تسهیلات مسکن عرضه جو دامی فرانسه در بورس کالا",1
1393/04/01,"وجود رانت اطلاعاتی در بورس شاخص بورس اولین روز تابستان را با کاهش شروع کرد محدودیت عدم فروش در برخی نمادهای حق تقدم تسهیلات مسکن به مدت ۲ ماه موادی از طرح قانون اجرای سیاست‌های اصل ۴۴ اصلاح شد نماد معاملاتی ""حسینا"" به تالار شیشه ای بازگشت واگذاری استقلال و پرسپولیس به نیمه دولتی‌ها خلاف قانون نیست واگذاری بلوک ۱۷ درصدی پالایش نفت بندرعباس به تعویق افتاد ۳ نکته نگران‌کننده در مورد خصوصی‌سازی سرخابی ۱۵۰ میلیون سهم سرمایه گذاری رنا در بورس عرضه می شود",0
1393/04/02,۶۵ درصد کل معاملات بهار امسال در اختیار ۷ کارگزار بود سقوط شاخص بورس تا نیمه ارتفاع ۷۲ هزار واحد افت ۳۸۰۰ واحدی شاخص بورس در خرداد امسال توافق با وزارت نفت برای عرضه میعانات گازی در بورس انرژی تا ۴۵ روز دیگر,0
1393/04/03,دادوستد ۴۶۹ میلیارد ریال اوراق بهادار در فرابورس شاخص بورس ۲۰۰ واحد افت کرد اعمال محدودیت فروش اوراق تسهیلات مسکن به شنبه آینده موکول شد کلیات خصوصی‌سازی باشگاه‌های ورزشی به تصویب رسید,0
1393/04/04,حجم معاملات محصولات کشاورزی در بورس کالا ۱۱۱ درصد رشد کرد افت ۹۴ واحدی شاخص بورس در آخرین روز معاملات هفته نماد معاملاتی یک شرکت از فرابورس به بورس منتقل شد طرح بیمه سهام از شنبه در بورس اجرایی می‌شود تشکیل اتاق‌های رقابتی در کنار بورس ضروری است,0
1393/04/07,۳۲ میلیون برگه اوراق اختیار فروش تبعی خریداری شد چهار اوراق اجاره و مشارکت در فرابورس عرضه می شود دستورالعمل جدید عرضه اوراق اختیار فروش تبعی منتشر شد شاخص بورس ۵۸۷ واحد افت کرد نخستین محموله میعانات‌گازی پارس‌جنوبی در بورس عرضه می‌شود شاخص بورس به ارتفاع ۷۱ هزار واحد سقوط کرد اوراق اختیار فروش تبعی شرکت فرابورسی ذوب آهن در راه بازار بلوک دولتی یک شرکت ساختمانی در فرابورس عرضه می‌شود,0
1393/04/08,"افزایش ۲۰ درصدی ارزش اوراق تبعی در دومین روز عرضه تقویت بازار سرمایه در دستور کار مجلس قرار گرفت آیفکس از نردبان ۷۰۰ واحدی پایین آمد شاخص بورس به ارتفاع ۷۰ هزار واحدی سقوط کرد جزییات طرح ""فراگیرکردن سهام بین مردم"" + پیش‌نویس طرح نقدینگی در بورس هم نیست ۴۸ درصد سهام تولید کاشی زهره کاشمر روی میز فرابورس قیمت اوراق اختیار فروش تبعی در روزجاری اعلام شد واگذاری ۲۴ هزار میلیارد ریال سهم دولتی در سه ماه",0
